0|car~city~name~phone~plate~ssn~street~title~uuid~vin
1|Toyota Corolla 1985~Cheyenne, Wyoming, 82001~Harrison, James~415-987-6543~JXER-1234~454-82-1111~123 Main Street~Software Developer~a09ffa54-2c39-4665-b1da-bdf4a907909c~1GTP9C37XJF111114
2|Honda Civic 1992~Elizabethtown, Kentucky, 42701~Wilder, Emily J.~503-234-5678~QWZA-5678~555-91-2345~101 Oakwood Drive Apt 2B~Financial Analyst~0901a484-214b-4c6e-8359-a91f9265e478~2C3KA53D74H215421
3|Ford Mustang 1969~Gainesville, Florida, 32601~Martin, Sophia M.~202-111-2222~FDSN-9012~678-43-9987~456 Maple Lane~Data Scientist~77026b91-2f1e-4882-92c1-29b038770070~5NFP4VA32LA101931
4|Nissan Altima 2001~Hattiesburg, Mississippi, 39401~Santiago, Michael T.~704-901-8765~GCTK-3456~812-65-4219~789 Parkview Boulevard #304~Materials Scientist~95fd64fe-6755-44f2-a8d6-59c9622b35c4~1HGCM82834A106121
5|Chevrolet Silverado 2014~Knoxville, Tennessee, 37902~Fisher, Abigail R.~619-345-6789~HJLK-7890~943-11-7563~321 Cedar Street~Quality Control Inspector~646a22ba-f22b-4bbd-ac87-eb5ef7f2fefc~1B7HP23R38KS14431
6|Dodge Challenger 1970~Lubbock, Texas, 79401~Rossi, Gabriel L.~303-765-4321~KRTV-2468~219-85-3120~901 Sunset Avenue~Database Administrator~758d0774-ea1f-4b29-b3df-de7d773d4e6b~3VWWE44R36M104241
7|Subaru Outback 1999~Madison, Wisconsin, 53703~Morgan, Elizabeth A.~404-567-8901~EBNM-1357~345-67-8902~234 Elm Court~Investment Banker~c6f82149-885f-4f8c-a51f-316f1b5137b9~5Y2GD6CV4BF110141
8|Volkswagen Golf 1983~Nashville, Georgia, 30005~Ramos, Julian O.~512-789-0123~RBYU-9634~472-93-1148~567 Willow Way~Mechanical Designer~78d92062-896e-4f7f-9c48-074f5b56b386~1FMCU43G8DT111233
9|Mazda MX-5 Miata 1990~Omaha, Nebraska, 68101~Lopez, Victoria E.~214-901-2345~TOMS-4219~811-42-7654~8905 Highway 12~Quantitative Trader~31933f67-39a6-483a-9d90-193098a483cb~1G3YZ46K74C105441
10|Audi A4 2002~Pueblo, Colorado, 81001~Garcia, Christopher D.~718-555-1234~CAXE-1185~627-89-3211~4215 Pinehurst Drive Apt A~Research Biologist~a2bbea7c-c35e-4931-9bf1-4b8dce32721f~JHMGR3FCXDP111115
11|Jeep Grand Cherokee 1993~Rochester, New York, 14604~Patel, Ava P.~612-456-7890~PZYM-8521~549-12-4683~6789 Ridgeway Road~Systems Engineer~2021125c-d8c6-49dd-8652-fe381690b69d~1P3AU64R35L102032
12|Hyundai Elantra 2006~Santa Fe, New Mexico, 87501~Nelson, Ethan G.~916-345-6789~XQUP-2753~742-51-2956~3456 Lincoln Highway~Portfolio Manager~b923f6b0-008b-41e1-bc7c-82f87007dbf7~2T3FK23EXKC116466
13|Ford F-150 2018~Tucson, Arizona, 85701~Chen, Maya K.~202-222-3333~NHYB-6432~318-74-9215~2468 Broadway~Network Architect~36d54968-4a1c-40b5-b24f-98bcc98cc687~1GTP9C42JF111119
14|Kia Optima 2011~Wichita, Kansas, 67201~Peters, Lucas J.~206-876-5432~VCTA-9176~985-61-7432~1234 Fifth Avenue~Compliance Officer~67ce5ddc-78d5-4c58-aaeb-530d5800b0bc~3VWWE44R34M103933
15|BMW M3 1995~Bismarck, North Dakota, 58501~Kim, Isabella F.~510-987-6543~WYJG-4109~426-93-1879~555 River Oaks Drive #10F~Chemical Engineer~c5068238-4456-4ca5-8512-f65b94a2f0c4~1G6ZU5TTXJF136441
16|Toyota Camry 1997~Boise, Idaho, 83702~Lee, Jackson Y.~314-567-8901~ZLRE-2461~951-28-6197~9999 Gulf Coast Highway~Cybersecurity Specialist~81554c56-9ca1-4d76-923a-8067ad7814c7~4T1BF12R7LU116477
17|Subaru WRX 2009~Charleston, South Carolina, 29403~Hernandez, Alexis R.~404-111-2222~GYHP-1359~219-95-4678~3421 Maplewood Lane~Risk Manager~b6c40930-cb73-41a2-8809-61b6b3873451~2F3F63BE4PY102345
18|Honda Accord 1986~Dallas, Oregon, 97202~Vargas, Noah A.~513-901-2345~THPS-9237~478-92-5132~7890 Lakeshore Drive Apt C~Software Quality Assurance Engineer~ac31bba6-74d4-4399-ac02-47f3d48eafb8~3NHAJ64EX9H105123
19|Ford Explorer 1996~Erie, Pennsylvania, 16501~Ortiz, Kaia L.~617-345-6789~CHNO-4785~615-49-3824~1212 Elm Street~Environmental Consultant~0447d159-bed3-4132-a7a7-0c43612cb47e~2C3KA56D8HT115678
20|Nissan Sentra 1994~Fort Collins, Colorado, 80521~Taylor, Alexander T.~212-765-4321~KZOH-6548~739-14-2651~6677 Park Boulevard~Financial Planner~81595628-55fc-485a-8afe-bd872e44cc5f~WDDGH7AH1FF111245
21|Chevrolet Corvette 1967~Grand Rapids, Michigan, 49503~Gonzales, Mia S.~503-123-4567~FQID-3821~492-71-9356~2333 Main Stree~Artificial Intelligence Researcher~60181023-b3af-46f7-b547-a1f504b44eb8~4S4YT66S972133211
22|Dodge Ram 2005~Huntington, West Virginia, 25701~White, Gabriel S.~410-789-0123~XNOM-9214~627-18-4213~4567 Oakdale Road Apt 3A~Biomedical Engineer~eecd49fb-18b6-4740-aa16-e9d682a49964~1G1ZU43TJF1122225
23|Volkswagen Jetta 1992~Indianapolis, Indiana, 46201~Williams, Ruby E.~202-555-1234~YMRA-4753~819-85-3925~9996 Southside Drive~Cloud Computing Professional~e51e0a37-e370-4f3c-903d-3d3bb7475bfe~3VWFP74K61L1034567
24|Mazda3 2010~Joplin, Missouri, 64801~Jackson, Logan M.~718-234-5678~TLYR-1682~542-91-8174~7775 Northside Drive Apt E~Investment Research Analyst~f0f11ea1-0f49-4444-bf3a-1002bd825735~WBA4E5AZ6JH1012345
25|Audi TT 2000~Kalamazoo, Michigan, 49007~Brown, Avery L.~415-123-4567~BRTW-8436~471-93-2159~2222 Lakeview Court~Mathematical Modeler~85763289-cc6e-4829-80eb-546af958bb58~KL1CV2MS0P1056789
26|Jeep Wrangler 1987~Lancaster, Pennsylvania, 17601~Davis, Emilia J.~206-789-0123~HULK-2190~937-51-6423~3333 Bayshore Boulevard #12G~Electrical Engineer~969b8f8c-7cb5-462c-a8c3-f6669415d931~1J4BR9DK2KZ124567
27|Hyundai Santa Fe 2001~Macon, Georgia, 31201~Hall, Elijah D.~404-333-4444~JQIC-7369~825-48-2197~5555 Westwood Avenue~Algorithmic Trader~c67b8b6f-5dc1-491e-94ab-ef0db548f544~3B7FH53RX0LJ02490
28|Ford Focus 1998~Nampa, Idaho, 83651~Miller, Julia C.~214-111-2222~VZEB-3421~594-74-4121~8888 Eastwood Avenue~Sustainability Coordinator~a256428c-e119-4f9a-8215-f51f07eab658~1G4AY54R74B103245
29|Kia Soul 2009~Ogden, Utah, 84401~Wilson, Parker F.~512-567-8901~FYAH-1298~394-92-6179~1111 Cedar Street~Operations Research Analyst~9cb2b83c-8b27-4c8a-8471-5e5b8216de06~2F3F1KBX5HH103456
30|BMW X5 2006~Palm Springs, California, 92262~Moore, Harper R.~619-901-2345~LZTE-7539~718-43-2912~4444 Riverside Drive~Database Manager~987354a0-0f02-473a-8e84-11662ca138c7~WDBRF6AA8HA013234
